Symbol,Price
20MICRONS,187.23
21STCENMGM,38.78
360ONE,1144.4
3IINFOLTD,15.5
3MINDIA,37515.0
3PLAND,34.48
5PAISA,331.2
63MOONS,688.7
A2ZINFRA,14.8
AAATECH,111.53
AADHARHFC,471.0
AAKASH,7.96
AAREYDRUGS,70.94
AARON,159.16
AARTECH,48.24
AARTIDRUGS,375.15
AARTIIND,465.6
AARTIPHARM,710.85
AARTISURF,425.8
AARVI,130.78
AAVAS,1308.5
ABAN,21.11
ABB,5788.5
ABBOTINDIA,26660.0
ABCAPITAL,344.65
ABCOTS,431.55
ABDL,538.4
ABFRL,70.04
ABINFRA,20.22
ABLBL,114.15
ABMINTLLTD,55.51
ABREL,1415.2
ABSLAMC,871.4
ACC,1671.3
ACCELYA,1208.6
ACCURACY,5.19
ACE,904.7
ACEINTEG,20.14
ACI,581.5
ACL,56.7
ACMESOLAR,223.96
ACUTAAS,2093.4
ADANIENSOL,1022.8
ADANIENT,2211.8
ADANIGREEN,997.65
ADANIPORTS,1543.7
ADANIPOWER,149.79
ADFFOODS,217.35
ADL,72.55
ADOR,1074.2
ADROITINFO,9.97
ADSL,125.23
ADVAIT,1785.3
ADVANCE,138.12
ADVANIHOTR,55.87
ADVENTHTL,218.7
ADVENZYMES,306.1
AEGISLOG,711.55
AEGISVOPAK,213.01
AEQUS,143.62
AEROENTER,80.0
AEROFLEX,193.24
AERONEU,69.94
AETHER,966.4
AFCONS,337.6
AFFLE,1623.5
AFFORDABLE,199.54
AFIL,4.97
AFSL,201.01
AGARIND,707.5
AGARWALEYE,459.25
AGI,638.6
AGIIL,240.6
AGRITECH,135.07
AGROPHOS,35.45
AGSTRA,3.84
AHCL,122.44
AHLADA,50.31
AHLEAST,149.46
AHLUCONT,909.9
AIAENG,3951.1
AIIL,495.7
AIRAN,21.29
AIROLAM,93.5
AJANTPHARM,2890.0
AJAXENGG,498.8
AJMERA,145.35
AJOONI,5.07
AKASH,24.95
AKG,14.48
AKI,6.5
AKSHAR,0.51
AKSHARCHEM,224.02
AKSHOPTFBR,5.2
AKUMS,464.0
AKZOINDIA,3000.3
ALANKIT,9.47
ALBERTDAVD,743.45
ALEMBICLTD,98.58
ALGOQUANT,58.49
ALICON,832.95
ALIVUS,922.65
ALKALI,71.06
ALKEM,5870.5
ALKYLAMINE,1537.8
ALLCARGO,9.59
ALLDIGI,842.05
ALLTIME,263.71
ALMONDZ,15.87
ALOKINDS,15.6
ALPA,68.98
ALPHAGEO,219.1
AMAGI,386.3
AMANTA,108.56
AMBER,7784.5
AMBICAAGAR,25.03
AMBIKCO,1377.7
AMBUJACEM,532.85
AMDIND,44.24
AMJLAND,39.75
AMNPLST,174.15
AMRUTANJAN,636.6
ANANDRATHI,2986.7
ANANTRAJ,548.85
ANDHRAPAP,69.88
ANDHRSUGAR,74.89
ANGELONE,2752.0
ANIKINDS,46.92
ANKITMETAL,1.71
ANMOL,12.0
ANSALAPI,3.27
ANTELOPUS,588.1
